sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_154538_21,0.28,0.44,0.75,20,240,4.48476634,4.48516
20251029_154538_22,0.28,0.44,0.75,20,0,3.80720008,3.80769
20251029_154538_22,0.28,0.44,0.75,20,120,4.52354811,4.52398
20251029_154538_22,0.28,0.44,0.75,20,240,4.44567765,4.44633
20251029_154538_23,0.28,0.44,0.75,20,0,3.8168424,3.81789
20251029_154538_23,0.28,0.44,0.75,20,120,4.53511082,4.53583
20251029_154538_23,0.28,0.44,0.75,20,240,4.4511321,4.4516
20251029_154538_24,0.28,0.44,0.75,20,0,3.77605334,3.7771
20251029_154538_24,0.28,0.44,0.75,20,120,4.48762254,4.48845
20251029_154538_24,0.28,0.44,0.75,20,240,4.41307044,4.41376
20251029_154538_25,0.28,0.44,0.75,20,0,3.81529883,3.81592
20251029_154538_25,0.28,0.44,0.75,20,120,4.53135785,4.53188
20251029_154538_25,0.28,0.44,0.75,20,240,4.4563029,4.45686
20251029_154538_26,0.28,0.44,0.75,20,0,3.81611088,3.81658
20251029_154538_26,0.28,0.44,0.75,20,120,4.53395736,4.53418
20251029_154538_26,0.28,0.44,0.75,20,240,4.45880875,4.45917
20251029_154538_27,0.28,0.44,0.75,20,0,3.83683216,3.83731
20251029_154538_27,0.28,0.44,0.75,20,120,4.55528338,4.55623
20251029_154538_27,0.28,0.44,0.75,20,240,4.48129338,4.48187
20251029_154538_28,0.28,0.44,0.75,20,0,3.82649534,3.82744
20251029_154538_28,0.28,0.44,0.75,20,120,4.54569592,4.54636
20251029_154538_28,0.28,0.44,0.75,20,240,4.46953115,4.47002
20251029_154538_29,0.28,0.44,0.75,20,0,3.83376365,3.833855
20251029_154538_29,0.28,0.44,0.75,20,120,4.55075799,4.55162
20251029_154538_29,0.28,0.44,0.75,20,240,4.4731982,4.47397
20251029_154538_3,0.24,0.31,0.75,20,0,3.67551689,3.67641
20251029_154538_3,0.24,0.31,0.75,20,120,4.29929303,4.29959
20251029_154538_3,0.24,0.31,0.75,20,240,4.61788211,4.61874
20251029_154538_30,0.28,0.44,0.75,20,0,3.82762654,3.82908
20251029_154538_30,0.28,0.44,0.75,20,120,4.54297646,4.5434
20251029_154538_30,0.28,0.44,0.75,20,240,4.47141381,4.472
20251029_154538_4,0.24,0.31,0.75,20,0,3.66501862,3.66556
20251029_154538_4,0.24,0.31,0.75,20,120,4.28862756,4.28939
20251029_154538_4,0.24,0.31,0.75,20,240,4.60785503,4.60887
20251029_154538_5,0.24,0.31,0.75,20,0,3.59275217,3.5935
20251029_154538_5,0.24,0.31,0.75,20,120,4.19823607,4.19891
20251029_154538_5,0.24,0.31,0.75,20,240,4.51455061,4.515265
20251029_154538_6,0.24,0.31,0.75,20,0,3.60092458,3.6014
20251029_154538_6,0.24,0.31,0.75,20,120,4.24361676,4.24431
20251029_154538_6,0.24,0.31,0.75,20,240,4.56134892,4.56215
20251029_154538_7,0.24,0.31,0.75,20,0,3.64061044,3.64121
20251029_154538_7,0.24,0.31,0.75,20,120,4.25957508,4.2601
20251029_154538_7,0.24,0.31,0.75,20,240,4.57996103,4.58025
20251029_154538_8,0.24,0.31,0.75,20,0,3.48246588,3.48295
20251029_154538_8,0.24,0.31,0.75,20,120,4.07231903,4.072725
20251029_154538_8,0.24,0.31,0.75,20,240,4.38965228,4.390235
20251029_154538_9,0.24,0.31,0.75,20,0,3.58919823,3.590045
20251029_154538_9,0.24,0.31,0.75,20,120,4.19813844,4.19924
20251029_154538_9,0.24,0.31,0.75,20,240,4.52355863,4.52431
