sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_120128_20,0.43,0.16,0.75,20,240,4.80700069,4.80793
20251029_120128_21,0.43,0.16,0.75,20,0,4.07923436,4.07947
20251029_120128_21,0.43,0.16,0.75,20,120,3.88199376,3.88304
20251029_120128_21,0.43,0.16,0.75,20,240,4.68250567,4.6829
20251029_120128_22,0.43,0.16,0.75,20,0,4.03593297,4.03703
20251029_120128_22,0.43,0.16,0.75,20,120,3.83523743,3.83599
20251029_120128_22,0.43,0.16,0.75,20,240,4.65158049,4.6523
20251029_120128_23,0.43,0.16,0.75,20,0,4.06589115,4.06598
20251029_120128_23,0.43,0.16,0.75,20,120,3.84910964,3.84981
20251029_120128_23,0.43,0.16,0.75,20,240,4.66611261,4.66645
20251029_120128_24,0.43,0.16,0.75,20,0,4.16640704,4.16666
20251029_120128_24,0.43,0.16,0.75,20,120,3.95168301,3.9528
20251029_120128_24,0.43,0.16,0.75,20,240,4.78364865,4.78391
20251029_120128_25,0.43,0.16,0.75,20,0,4.15203067,4.15251
20251029_120128_25,0.43,0.16,0.75,20,120,3.93669627,3.93733
20251029_120128_25,0.43,0.16,0.75,20,240,4.76810795,4.76878
20251029_120128_26,0.43,0.16,0.75,20,0,4.05214737,4.05282
20251029_120128_26,0.43,0.16,0.75,20,120,3.85458267,3.85573
20251029_120128_26,0.43,0.16,0.75,20,240,4.65385219,4.65461
20251029_120128_27,0.43,0.16,0.75,20,0,4.15043222,4.15087
20251029_120128_27,0.43,0.16,0.75,20,120,3.96173308,3.96168
20251029_120128_27,0.43,0.16,0.75,20,240,4.77849764,4.77898
20251029_120128_28,0.43,0.16,0.75,20,0,4.12390349,4.124055
20251029_120128_28,0.43,0.16,0.75,20,120,3.92681038,3.92713
20251029_120128_28,0.43,0.16,0.75,20,240,4.75444107,4.75496
20251029_120128_29,0.54,0.55,0.75,20,0,4.32864544,4.32953
20251029_120128_29,0.54,0.55,0.75,20,120,4.54436854,4.5457
20251029_120128_29,0.54,0.55,0.75,20,240,4.14408048,4.14462
20251029_120128_3,0.45,0.2,0.75,20,0,4.27344623,4.27392
20251029_120128_3,0.45,0.2,0.75,20,120,4.07421906,4.07519
20251029_120128_3,0.45,0.2,0.75,20,240,4.82129244,4.82208
20251029_120128_30,0.54,0.55,0.75,20,0,4.23266161,4.2328
20251029_120128_30,0.54,0.55,0.75,20,120,4.44853683,4.44897
20251029_120128_30,0.54,0.55,0.75,20,240,4.05355572,4.05381
20251029_120128_31,0.54,0.55,0.75,20,0,4.30675781,4.30748
20251029_120128_31,0.54,0.55,0.75,20,120,4.52419208,4.52497
20251029_120128_31,0.54,0.55,0.75,20,240,4.12586454,4.127015
20251029_120128_32,0.54,0.55,0.75,20,0,4.28116696,4.281655
20251029_120128_32,0.54,0.55,0.75,20,120,4.50143649,4.50161
20251029_120128_32,0.54,0.55,0.75,20,240,4.09702774,4.09724
20251029_120128_33,0.54,0.55,0.75,20,0,4.31508218,4.31604
20251029_120128_33,0.54,0.55,0.75,20,120,4.52957237,4.53023
20251029_120128_33,0.54,0.55,0.75,20,240,4.13200088,4.13277
20251029_120128_34,0.54,0.55,0.75,20,0,4.01117908,4.01169
20251029_120128_34,0.54,0.55,0.75,20,120,4.25384881,4.25517
20251029_120128_34,0.54,0.55,0.75,20,240,3.8566001,3.857545
20251029_120128_35,0.54,0.55,0.75,20,0,4.2930229,4.29367
20251029_120128_35,0.54,0.55,0.75,20,120,4.51229253,4.512965
20251029_120128_35,0.54,0.55,0.75,20,240,4.1152245,4.11599
20251029_120128_36,0.54,0.55,0.75,20,0,4.10287524,4.10349
20251029_120128_36,0.54,0.55,0.75,20,120,4.33174525,4.33249
20251029_120128_36,0.54,0.55,0.75,20,240,3.93036517,3.93108
20251029_120128_37,0.54,0.55,0.75,20,0,4.32754464,4.32756
20251029_120128_37,0.54,0.55,0.75,20,120,4.55952481,4.56051
20251029_120128_37,0.54,0.55,0.75,20,240,4.17197746,4.17258
20251029_120128_38,0.54,0.55,0.75,20,0,4.30528409,4.30617
20251029_120128_38,0.54,0.55,0.75,20,120,4.51864332,4.51905
20251029_120128_38,0.54,0.55,0.75,20,240,4.12300094,4.12422
20251029_120128_39,0.57,0.28,0.75,20,0,4.45401447,4.45456
20251029_120128_39,0.57,0.28,0.75,20,120,4.1299267,4.13047
20251029_120128_39,0.57,0.28,0.75,20,240,4.66877125,4.66974
20251029_120128_4,0.45,0.2,0.75,20,0,4.28441748,4.28511
20251029_120128_4,0.45,0.2,0.75,20,120,4.08488237,4.08539
20251029_120128_4,0.45,0.2,0.75,20,240,4.83501766,4.8359
20251029_120128_40,0.57,0.28,0.75,20,0,4.41477456,4.41606
20251029_120128_40,0.57,0.28,0.75,20,120,4.09411822,4.09493
20251029_120128_40,0.57,0.28,0.75,20,240,4.61653883,4.61743
20251029_120128_41,0.57,0.28,0.75,20,0,4.45755612,4.45818
20251029_120128_41,0.57,0.28,0.75,20,120,4.15933169,4.16008
20251029_120128_41,0.57,0.28,0.75,20,240,4.67636791,4.67698
20251029_120128_42,0.57,0.28,0.75,20,0,4.40105708,4.40191
20251029_120128_42,0.57,0.28,0.75,20,120,4.10971768,4.1104
20251029_120128_42,0.57,0.28,0.75,20,240,4.61281088,4.61381
20251029_120128_43,0.57,0.28,0.75,20,0,4.37871534,4.37921
20251029_120128_43,0.57,0.28,0.75,20,120,4.06129748,4.0617
20251029_120128_43,0.57,0.28,0.75,20,240,4.58134704,4.58189
20251029_120128_44,0.57,0.28,0.75,20,0,4.34440969,4.34499
20251029_120128_44,0.57,0.28,0.75,20,120,4.02998162,4.03045
20251029_120128_44,0.57,0.28,0.75,20,240,4.53875212,4.53879
20251029_120128_45,0.57,0.28,0.75,20,0,4.34694776,4.34763
20251029_120128_45,0.57,0.28,0.75,20,120,4.0323236,4.03308
20251029_120128_45,0.57,0.28,0.75,20,240,4.54108503,4.54109
20251029_120128_46,0.57,0.28,0.75,20,0,4.34493365,4.345815
20251029_120128_46,0.57,0.28,0.75,20,120,4.03031212,4.0311
20251029_120128_46,0.57,0.28,0.75,20,240,4.54093727,4.54175
20251029_120128_47,0.57,0.28,0.75,20,0,4.34945924,4.35059
20251029_120128_47,0.57,0.28,0.75,20,120,4.03711845,4.03834
20251029_120128_47,0.57,0.28,0.75,20,240,4.54652881,4.54734
20251029_120128_48,0.57,0.28,0.75,20,0,4.35366219,4.35421
20251029_120128_48,0.57,0.28,0.75,20,120,4.04009094,4.04097
20251029_120128_48,0.57,0.28,0.75,20,240,4.55127077,4.55228
20251029_120128_5,0.45,0.2,0.75,20,0,4.16962599,4.17061
20251029_120128_5,0.45,0.2,0.75,20,120,3.97273143,3.97385
20251029_120128_5,0.45,0.2,0.75,20,240,4.72224517,4.723205
20251029_120128_6,0.45,0.2,0.75,20,0,4.26233685,4.26307
20251029_120128_6,0.45,0.2,0.75,20,120,4.06324905,4.06368
20251029_120128_6,0.45,0.2,0.75,20,240,4.80910273,4.80958
20251029_120128_7,0.45,0.2,0.75,20,0,4.24053919,4.24102
20251029_120128_7,0.45,0.2,0.75,20,120,4.04609911,4.04657
20251029_120128_7,0.45,0.2,0.75,20,240,4.78366952,4.78358
20251029_120128_8,0.45,0.2,0.75,20,0,4.29778465,4.2986
20251029_120128_8,0.45,0.2,0.75,20,120,4.09946638,4.10053
20251029_120128_8,0.45,0.2,0.75,20,240,4.85168404,4.85301
20251029_120128_9,0.51,0.22,0.75,20,0,4.36643854,4.36671
20251029_120128_9,0.51,0.22,0.75,20,120,4.07734007,4.07782
20251029_120128_9,0.51,0.22,0.75,20,240,4.79611454,4.79675
